Facility_Name,Reg_No,Address,Facility_Type_RAW,Facility_Type,Level,Bed_Capacity,County
BENARDS VISION MEDICAL CENTRE,17578,P.O BOX 203-40101 AHERO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,HOMA BAY
BENDERA MEDICAL CLINIC,15285,P.O BOX 248-50300 MARAGOLI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,VIHIGA
BENEC MEDICAL CENTRE,14678,P.O BOX 7915-40100 KISUMU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KISUMU
BENEDETTO HEALTH CENTRE,17870,P.O BOX 0718791002-80200 MALINDI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KILIFI
BENGLAD FAMILY CARE CLINIC,17976,P.O BOX 202- CHWELE,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,25,BUNGOMA
BENJUDES MEDICAL CENTRE,17759,P.O BOX 263-50310 VIHIGA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,VIHIGA
BENMA HEALTHCARE CENTRE,4229,P.O BOX 2925-01000 THIKA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
BENMAC HEALTH CLINIC,6079,P.O BOX 157-20115 EGERTON,NURSING HOME,NURSING HOME,LEVEL 3B,24,NAKURU
BENTA AND LEON HEALTHCARE LTD,3284,P.O BOX 2844-00200 NAIROBI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,0,NAKURU
BERIL\'S GWP MEDICAL CENTER,17464,P.O BOX 27-40222 OYUGIS,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,20,HOMA BAY
BERTUS DENTAL CENTRE,4230,P.O BOX 1714-60100 EMBU,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,EMBU
BERTUS DENTAL CENTRE-KIRITIRI,17740,P.O BOX 1714-60100 EMBU,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,EMBU
BERUR MEDICAL CLINIC,6176,P.O BOX 13-20105 MOGOTIO,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,BARINGO
BERUR MEDICAL CLINIC KAMPI,17743,P.O BOX 13-20105 MOGOTIO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
BESCARE ESIBUYE MEDICAL CENTRE,17884,P.O BOX 75-50314 LUANDA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,VIHIGA
BESHLINK MEDICAL SERVICES,17455,P.O BOX 103419-00101 JAMIA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MACHAKOS
BEST HEALTHCARE COMMUNITY SERVICES,15876,P.O BOX 783-00520 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BESTCARE MEDICAL AND DIAGNOSTIC CENTRE LTD,7055,P.O BOX 11-90121 EMALI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MAKUENI
BETA CARE HOSPITAL LTD,1511,P.O BOX 581-00216 GITHUNGURI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,50,KIAMBU
BETALINK MEDICAL CLINIC,5842,P.O BOX 1199 -30100 ELDORET,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,UASIN GISHU
BETELI MEDICAL CLINIC,15422,P.O BOX 995-80400 UKUNDA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KWALE
BETH MEDICAL SERVICES,17779,P.O BOX 3022-40300 KISII,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISII
BETHANIA ANNEX MEDICAL CLINIC,2919,P.O BOX 13533-20100 NAKURU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
BETHANIA MEDICAL CENTRE,618,P.O BOX 14293-20100 NAKURU,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAKURU
BETHANY HEALTH SERVICES,2038,P.O BOX 42-90122 KALAMBA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MAKUENI
BETHANY MEDICAL CENTRE,7508,P.O BOX 7860-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BETHANY MISSION DISPENSARY,3402,P.O BOX 5441- DIANI BEACH,DISPENSARY,DISPENSARY,LEVEL 2,0,KWALE
BETHESDA HEALTH CARE SERVICES KOBUJOI,16510,P.O BOX 212-30301 NANDI HILLS,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NANDI
BETHESDA HEALTHCARE SERVICES LIMITED,4111,P.O BOX 212-30301 NANDI HILLS,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NANDI
BETHLEHEM HOME HOSPITAL,5014,P.O BOX 304-40109 SONDU,FAITH-BASED BASIC CENTRE,FAITH BASED,LEVEL 3A,14,KISUMU
BETHSAIDA EYE CENTRE LIMITED,15620,P.O BOX 3727-30100 ELDORET,EYE CLINIC,EYE CLINIC,LEVEL 2,0,TRANS NZOIA
BETTA HEALTH MEDICAL CENTRE,2741,P.O BOX 51- KARATINA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
BETTER LIVING HOSPITAL,2860,P.O BOX 48629-00100 NAIROBI,MISSION HOSPITAL LEVEL 3,MISSION HOSPITAL LEVEL 3,LEVEL 3A,30,NAIROBI
BETTER LIVING HOSPITAL-LIKONI ROAD HEALTH CENTRE,18050,P.O BOX 48629-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAIROBI
BETTERLIFE MEDICAL CENTRE,15480,P.O BOX 8783-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BEYONDSCOPE HOSPITAL,17240,P.O BOX 97298-80100 MOMBASA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,50,MOMBASA
BHARDWAJ WELFARE TRUST CLINIC,8164,P.O BOX 41627-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BHESP KARIOBANGI NORTH WELLNESS CENTRE,7515,P.O BOX 32821-00600 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BHESP WELLNESS CENTRE ROYSAMBU,14918,P.O BOX 32821-00600 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BHESP WELNESS CLINIC,5411,P.O BOX 32821-00600 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BIAFRA LIONS DISPENSARY,GK-008861,P.O BOX 30108-00100 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,NAIROBI
BIBLE FAITH CHURCH MEDICAL SERVICES,1564,P.O BOX 1373-30200 KITALE,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,24,WEST POKOT
BIFNA MEDICAL CLINIC,15073,P.O BOX 407-60300 ISIOLO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,ISIOLO
BILAL MEDICAL CENTRE,2886,P.O BOX 229-00202 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BIN BARAKAT MEDICAL CENTRE,7032,P.O BOX 6234-00610 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BINGWA AFYA CLINIC LTD,14728,P.O BOX 27610-00100 NAIROBI,NURSING HOME,NURSING HOME,LEVEL 3B,18,NAKURU
BIRIBIRIET A.I.C DISPENSARY,2922,P.O BOX 1277-30200 KITALE,DISPENSARY,DISPENSARY,LEVEL 2,0,TRANS NZOIA
BISHOP MORROW DISPENSARY,10804,P.O BOX 543- KENOL,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
BISHOP U. J. KIOKO CATHOLIC HOSPITAL,123,P.O BOX 2240-90100 MACHAKOS,FAITH BASED LEVEL 4 HOSPITAL,FAITH BASED,LEVEL 4,125,MACHAKOS
BIZET MEDICAL CENTRE,16125,P.O BOX 55848-00200 NAIROBI,NURSING HOME,NURSING HOME,LEVEL 3B,20,NAIROBI
BLESSED COMMUNITY MEDICAL CLINIC,3688,P.O BOX 72611-00200 NAIROBI,MATERNITY HOME,MATERNITY HOME,LEVEL 3B,30,KAJIADO
BLESSED ELDERS (CBO) MEDICAL CENTRE,4319,P.O BOX 29813-00202 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BLESSED MEDICARE CENTRE,4198,P.O BOX 8094-00300 NAIROBI,NURSING HOME,NURSING HOME,LEVEL 3B,15,NAIROBI
BLESSED TALBOT MEDICAL CENTRE LTD,15112,P.O BOX 1716-00900 KIAMBU,NURSING HOME,NURSING HOME,LEVEL 3B,40,KIAMBU
BLESSED TO BLESS HEALTHCARE LIMITED,17923,P.O BOX 1016- KANGUNDO,NURSING HOME,NURSING HOME,LEVEL 3B,20,NAIROBI
BLISS GVS HEALTH CARE DIANI,6104,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KWALE
BLISS GVS HEALTHCARE BURUBURU CLINIC,3512,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,NAIROBI
BLISS GVS HEALTHCARE COLLEGE,7730,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BLISS GVS HEALTHCARE ELDAMA RAVINE,7370,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,BARINGO
BLISS GVS HEALTHCARE ELDORET,3950,P.O BOX 5763 -00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,UASIN GISHU
BLISS GVS HEALTHCARE EMBAKASI CLINIC,3505,P.O BOX 40195-00200 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAIROBI
BLISS GVS HEALTHCARE ENTERPRISE ROAD CLINIC,3506,P.O BOX 40195-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAIROBI
BLISS GVS HEALTHCARE GITHURAI,11297,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
BLISS GVS HEALTHCARE JOGOO ROAD CLINIC,3508,P.O BOX 40195-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BLISS GVS HEALTHCARE KABARNET,7404,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,BARINGO
BLISS GVS HEALTHCARE KITALE,5995,P.O BOX 5763-00200 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,TRANS NZOIA
BLISS GVS HEALTHCARE LIMITED - MAUA,7630,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
BLISS GVS HEALTHCARE LIMITED AWENDO,7139,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MIGORI
BLISS GVS HEALTHCARE LIMITED BONDO,6597,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,SIAYA
BLISS GVS HEALTHCARE LIMITED EMALI,6984,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MAKUENI
BLISS GVS HEALTHCARE LIMITED EMBU,6263,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,EMBU
BLISS GVS HEALTHCARE LIMITED GARISSA,5676,P.O BOX 5763-00200 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,GARISSA
BLISS GVS HEALTHCARE LIMITED KAPSABET,6188,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NANDI
BLISS GVS HEALTHCARE LIMITED KERICHO,6275,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KERICHO
BLISS GVS HEALTHCARE LIMITED KERUGOYA,6235,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIRINYAGA
BLISS GVS HEALTHCARE LIMITED KIAMBU,14796,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
BLISS GVS HEALTHCARE LIMITED KIMILILI,6914,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,BUNGOMA
BLISS GVS HEALTHCARE LIMITED KISII,7124,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISII
BLISS GVS HEALTHCARE LIMITED MALABA,6913,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,BUSIA
BLISS GVS HEALTHCARE LIMITED MBALE,6861,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,VIHIGA
BLISS GVS HEALTHCARE LIMITED MOMBASA,6332,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MOMBASA
BLISS GVS HEALTHCARE LIMITED MTWAPA,6983,P.O BOX 5763-00200 NAIROBI,NURSING HOME,NURSING HOME,LEVEL 3B,0,KILIFI
BLISS GVS HEALTHCARE LIMITED MURANGA,6391,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MURANG'A
BLISS GVS HEALTHCARE LIMITED NANYUKI,6187,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,LAIKIPIA
BLISS GVS HEALTHCARE LIMITED OL-KALAU,7762,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NYANDARUA
BLISS GVS HEALTHCARE LIMITED THIKA,6915,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
BLISS GVS HEALTHCARE LIMITED UMOJA 2,14333,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BLISS GVS HEALTHCARE LTD KIBERA CLINIC,3511,P.O BOX 40195-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BLISS GVS HEALTHCARE LTD KISUMU CBD,7856,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISUMU
BLISS GVS HEALTHCARE LTD - WESTLANDS,7229,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BLISS GVS HEALTHCARE LTD BUSIA,15097,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,BUSIA
BLISS GVS HEALTHCARE LTD HOMABAY,15106,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,HOMA BAY
BLISS GVS HEALTHCARE LTD ITEN,7265,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,ELGEYO/ MARAKWET
BLISS GVS HEALTHCARE LTD KAKAMEGA,5926,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
BLISS GVS HEALTHCARE LTD KAKUMA,14361,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TURKANA
BLISS GVS HEALTHCARE LTD KAPENGURIA,5886,P.O BOX 5763-00200 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,WEST POKOT
BLISS GVS HEALTHCARE LTD KISII -UCHUMI BULDING,14447,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISII
BLISS GVS HEALTHCARE LTD KISUMU,3939,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISUMU
BLISS GVS HEALTHCARE LTD KITUI,7631,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KITUI
BLISS GVS HEALTHCARE LTD MACHAKOS,7138,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MACHAKOS
BLISS GVS HEALTHCARE LTD MARALAL,9034,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,SAMBURU
BLISS GVS HEALTHCARE LTD MARSABIT,14560,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MARSABIT
BLISS GVS HEALTHCARE LTD MOI AVENUE,15324,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BLISS GVS HEALTHCARE LTD NAIVASHA,5759,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAKURU
BLISS GVS HEALTHCARE LTD NYAMIRA,14544,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NYAMIRA
BLISS GVS HEALTHCARE LTD NYERI,14543,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NYERI
BLISS GVS HEALTHCARE LTD SIAYA,7257,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,SIAYA
BLISS GVS HEALTHCARE LTD WEBUYE,7125,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,BUNGOMA
BLISS GVS HEALTHCARE LTD WOTE,5758,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MAKUENI
BLISS GVS HEALTHCARE LTD ZION MALL,7004,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,UASIN GISHU
BLISS GVS HEALTHCARE LTD-SOUTH C,15962,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BLISS GVS HEALTHCARE MOBILE CLINIC,3447,P.O BOX 40195-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BLISS GVS HEALTHCARE PIPELINE CLINIC,3509,P.O BOX 5763-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
BLISS GVS HEALTHCARE TELEPOSTA CLINIC,3510,P.O BOX 40195-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAIROBI
BLISS GVS MEDICAL CLINIC NYERI,6186,P.O BOX 5763-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NYERI
BLISS MEDICAL CLINIC MUMIAS,6291,P.O BOX 644-60401 MUMIAS,NURSING HOME,NURSING HOME,LEVEL 3B,50,KAKAMEGA
BLISSFAM HOSPITAL,6136,P.O BOX 1842-80100 MOMBASA,NURSING HOME,NURSING HOME,LEVEL 3B,10,KILIFI
BLISSFUL AMANI MEDICAL CLINIC,17023,P.O BOX 212-30205 MATUNDA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TRANS NZOIA
BLITZ MEDICAL CENTRE,4155,P.O BOX 123-90128 MTITO ANDEI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BLOOM DHAHABU LIMITED,17051,P.O BOX 1970-00900 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,NAIROBI
BLOOM HEALTHCARE LIMITED,16745,P.O BOX 1730-00600 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,KISUMU
BLOOM HEALTHCARE MACHAKOS,16469,P.O BOX 1730-00606 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,MACHAKOS
BLOOM SURGICAL CENTRE LIMITED - KISUMU,16746,P.O BOX 1730-00600 NAIROBI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,30,KISUMU
BLOOM TRICOLOGY CLINIC LTD -CLINIC,17947,P.O BOX 2002-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BLOOMING MEDICAL CLINIC,17815,P.O BOX 418-20106 MOLO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
BLOOMINGDALE ROSES KENYA LIMITED,16479,P.O BOX 48876-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
BLOSSOMVALE HOPE HEALTHCARE,16330,P.O BOX 954-40200 KISII,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,15,KISII
BLUE BELLS MEDICAL SERVICES SYOKIMAU,3185,P.O BOX 2694-00202 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MACHAKOS
BLUE NILE MKOROSHONI MEDICAL CENTRE LTD,17735,P.O BOX 230-80108 KILIFI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KILIFI
BLUE RAY MEDICAL CENTER,18097,P.O BOX 579-40404 RONGO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISUMU
BLUE RIDGE MEDICAL LTD,7338,P.O BOX 28654-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,NAIROBI
BLUE RIDGE MEDICAL - THIKA,16184,P.O BOX 47687-01000 THIKA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,KIAMBU
BLUE RIDGE MEDICAL LTD -KISUMU,14383,P.O BOX 965-40100 KISUMU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,KISUMU
BLUE SKY DENTAL PRACTICE,15572,P.O BOX 14368-00800 NAIROBI,DENTAL CENTRE,DENTAL CENTRE,LEVEL 3A,0,NAIROBI
BLUE TURTLE NURSING HOME,1041,P.O BOX 36-90202 IKANGA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,16,KITUI
BLUEHAVEN MEDICAL CENTRE,2866,P.O BOX 18900-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
BLUELIGHT HOSPITAL AND DIAGNOSTIC CENTRE LIMITED,14651,P.O BOX 185-70300 MANDERA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,30,MANDERA
BM STAFF CLINIC,1061,P.O BOX 21606-00505 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
BOBARACHO DISPENSARY,GK-010278,P.O BOX 92-40200 KISII,DISPENSARY,DISPENSARY,LEVEL 2,0,KISII
BODAKI MEDICARE LIMITED,2797,P.O BOX 8665-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,4,NAIROBI
BOENSUMMIT MEDICAL CENTER,16212,P.O BOX 485-20100 NAKURU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
BOMA MEDICARE LIMITED,4061,P.O BOX 486-40400 SUNA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MIGORI
BOMANI HOSPITAL LIMITED,17227,P.O BOX 181-40200 KISII,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,41,KISII
BOMBOLULU DIAGNOSTIC MEDICAL CENTRE,15092,P.O BOX 3383-80100 MOMBASA,NURSING HOME,NURSING HOME,LEVEL 3B,8,KILIFI
BOMET OASIS MEDICAL AND DIAGNOSTIC CENTRE,16090,P.O BOX 184-20400 BOMET,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,BOMET
BOMU HOSPITAL,2386,P.O BOX 95683-80106 MOMBASA,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,52,MOMBASA
BOMU MEDICAL CENTRE,14393,P.O BOX 95683-80106 MKOMANI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KILIFI
BOMU MEDICAL CENTRE - TIMBONI,17499,P.O BOX 95683-80106 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KILIFI
BOMU MEDICAL CENTRE LIKONI,1407,P.O BOX 95683-80106 MOMBASA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,MOMBASA
BOMU MEDICAL CENTRE- AL-WALIDAYN,16019,P.O BOX 95683-80106 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KWALE
BOMU MEDICAL CENTRE- WEMA,16020,P.O BOX 95683-80106 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MOMBASA
BOMU MEDICAL CENTRE-OLD TOWN,18021,P.O BOX 95683-80106 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MOMBASA
BONA HEALTHCARE CENTRE,6383,P.O BOX 42607-80100 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MOMBASA
BONDO BARKOWINO MEDICAL CENTRE LTD,4354,P.O BOX 600-40601 BONDO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,SIAYA
BONDO MEDICAL CENTRE,374,P.O BOX 600-40601 BONDO,NURSING HOME,NURSING HOME,LEVEL 3B,25,SIAYA
